1. Număr încercări: 10, Cuvânt găsit: ICONOGRAFĂ, Status: OK, Litere încercate: A B E N C I O G F Ă
49. Număr încercări: 9, Cuvânt găsit: NEOFORMAȚIUNII, Status: OK, Litere încercate: B I N E F M A Ț U
50. Număr încercări: 7, Cuvânt găsit: PEGMATITUL, Status: OK, Litere încercate: E U M A T I L
51. Număr încercări: 12, Cuvânt găsit: PLUTUIEȘTE, Status: OK, Litere încercate: C E R A M N F L U Ș P I
52. Număr încercări: 4, Cuvânt găsit: CINTEZII, Status: OK, Litere încercate: C N T Z
53. Număr încercări: 17, Cuvânt găsit: FOLFĂIESC, Status: OK, Litere încercate: B G O M L I V A N C D T R F Ă E S
54. Număr încercări: 7, Cuvânt găsit: OTORINOLARINGOLOGELOR, Status: OK, Litere încercate: O T R N A G E
55. Număr încercări: 5, Cuvânt găsit: ESTETIZANTEI, Status: OK, Litere încercate: N S T I Z
56. Număr încercări: 7, Cuvânt găsit: BALAOACHEȘĂ, Status: OK, Litere încercate: A L O C H E Ș
57. Număr încercări: 7, Cuvânt găsit: NOTĂRIȚĂ, Status: OK, Litere încercate: C D N T R I Ț
58. Număr încercări: 6, Cuvânt găsit: DULEȚI, Status: OK, Litere încercate: A I E N U Ț
59. Număr încercări: 9, Cuvânt găsit: RICKETTSIOZEI, Status: OK, Litere încercate: A G R I C K T O Z
60. Număr încercări: 3, Cuvânt găsit: CIREȘE, Status: OK, Litere încercate: E I R
61. Număr încercări: 6, Cuvânt găsit: ZGĂRDAT, Status: OK, Litere încercate: B R Z G A T
62. Număr încercări: 7, Cuvânt găsit: PREȚIOASELOR, Status: OK, Litere încercate: A P R E Ț I S
63. Număr încercări: 6, Cuvânt găsit: DIMPREJUR, Status: OK, Litere încercate: E I M P J U
64. Număr încercări: 5, Cuvânt găsit: BULBUCAT, Status: OK, Litere încercate: A B O C U
65. Număr încercări: 6, Cuvânt găsit: ARIERDUNĂ, Status: OK, Litere încercate: A R I E U Ă
66. Număr încercări: 11, Cuvânt găsit: FLACIDEI, Status: OK, Litere încercate: B O C N I U L F A D E
67. Număr încercări: 7, Cuvânt găsit: CONVENȚIONALI, Status: OK, Litere încercate: C O N V E I A
68. Număr încercări: 9, Cuvânt găsit: CUCONIȚĂ, Status: OK, Litere încercate: A B E R N C O I U
69. Număr încercări: 7, Cuvânt găsit: NELINIȘTITORULUI, Status: OK, Litere încercate: E L I T O R U
70. Număr încercări: 8, Cuvânt găsit: BIHINDISIRILE, Status: OK, Litere încercate: A I H N D S L E
71. Număr încercări: 8, Cuvânt găsit: ÎMPLINIREA, Status: OK, Litere încercate: A B E Î M P I R
72. Număr încercări: 5, Cuvânt găsit: INSTIGÂND, Status: OK, Litere încercate: N T G Â D
73. Număr încercări: 8, Cuvânt găsit: RECENTE, Status: OK, Litere încercate: I H A R D E N T
74. Număr încercări: 8, Cuvânt găsit: EMBLEMĂ, Status: OK, Litere încercate: C O S Z U M B L
75. Număr încercări: 8, Cuvânt găsit: SINGURAȘUL, Status: OK, Litere încercate: B U S I N R A L
76. Număr încercări: 8, Cuvânt găsit: SUBSECRETARULUI, Status: OK, Litere încercate: S U B C R A L I
77. Număr încercări: 10, Cuvânt găsit: DEVITALIZASERĂM, Status: OK, Litere încercate: D V I T A L Z S R M
78. Număr încercări: 8, Cuvânt găsit: SUBAPRECIEZ, Status: OK, Litere încercate: A B S U P E C Z
79. Număr încercări: 5, Cuvânt găsit: CLASATULUI, Status: OK, Litere încercate: A S T U I
80. Număr încercări: 9, Cuvânt găsit: FARAONICUL, Status: OK, Litere încercate: A B G O F I C U L
81. Număr încercări: 5, Cuvânt găsit: ÎNROLĂRILOR, Status: OK, Litere încercate: Î N L Ă I
82. Număr încercări: 11, Cuvânt găsit: PRIMEZIU, Status: OK, Litere încercate: A C H E L I T R P M Z
83. Număr încercări: 7, Cuvânt găsit: CRUCIATULUI, Status: OK, Litere încercate: O N L R U I T
84. Număr încercări: 13, Cuvânt găsit: PRODIGATELE, Status: OK, Litere încercate: R B O L C P S E D I G A T
85. Număr încercări: 16, Cuvânt găsit: VINA, Status: OK, Litere încercate: A N Z B O R E I C J K L M Q S V
86. Număr încercări: 5, Cuvânt găsit: CIFRARĂM, Status: OK, Litere încercate: C A I Ă M
87. Număr încercări: 10, Cuvânt găsit: ÎNFRUNTASEM, Status: OK, Litere încercate: C Y N Î F R U T A E
88. Număr încercări: 10, Cuvânt găsit: VIOȘELI, Status: OK, Litere încercate: B R A E T Ă C V I L
89. Număr încercări: 8, Cuvânt găsit: AMUȘISERĂȚI, Status: OK, Litere încercate: A M U Ș I S E R
90. Număr încercări: 9, Cuvânt găsit: TELEGRAFIARĂ, Status: OK, Litere încercate: P N T L G A F I Ă
91. Număr încercări: 10, Cuvânt găsit: CITRONADELE, Status: OK, Litere încercate: B A R C I T O N E L
92. Număr încercări: 10, Cuvânt găsit: BASCHETBALIȘTILOR, Status: OK, Litere încercate: B A C H E T L I Ș O
93. Număr încercări: 10, Cuvânt găsit: SEPTICUL, Status: OK, Litere încercate: A S R O F I E T C U
94. Număr încercări: 3, Cuvânt găsit: VENENO, Status: OK, Litere încercate: N E V
95. Număr încercări: 12, Cuvânt găsit: GUDRONĂM, Status: OK, Litere încercate: C I O R V T B D G U N M
96. Număr încercări: 8, Cuvânt găsit: CORDENCIULUI, Status: OK, Litere încercate: A D I O E N U L
97. Număr încercări: 11, Cuvânt găsit: STROPȘIRE, Status: OK, Litere încercate: A M B U L O R P Ș I E
98. Număr încercări: 6, Cuvânt găsit: FOILETONIST, Status: OK, Litere încercate: O L E T N S
99. Număr încercări: 10, Cuvânt găsit: PLICISERĂ, Status: OK, Litere încercate: A G O N I P L C E R
100. Număr încercări: 3, Cuvânt găsit: ACHITAT, Status: OK, Litere încercate: C H I

Total pași: 801
